Year,State_Code,State_Name,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,Category,Demographic,Lat,Long
2011,WY,Wyoming,25.5,21.6,29.8,899.0,"(43.235541343, -108.109830353)",Income,"$35,000 - $49,999",43.235541343, -108.109830353
2015,SD,South Dakota,28.5,26.0,31.0,3782.0,"(44.353130053, -100.373530637)",Gender,Female,44.353130053, -100.373530637
2014,SC,South Carolina,32.1,30.9,33.3,10393.0,"(33.998821303, -81.045371207)",Total,Total,33.998821303, -81.045371207
2014,NH,New Hampshire,31.8,27.8,36.1,893.0,"(43.655950113, -71.50036092)",Income,"$50,000 - $74,999",43.655950113, -71.50036092
2012,ND,North Dakota,38.3,31.5,45.6,326.0,"(47.475319779, -100.118421049)",Education,Less than high school,47.475319779, -100.118421049
2011,NJ,New Jersey,23.1,21.9,24.3,10027.0,"(40.130570048, -74.273691288)",Race/Ethnicity,Non-Hispanic White,40.130570048, -74.273691288
2013,IL,Illinois,24.0,19.7,29.0,551.0,"(40.485010283, -88.997710178)",Age (years),25 - 34,40.485010283, -88.997710178
2013,AL,Alabama,29.6,27.8,31.5,4453.0,"(32.840571122, -86.631860762)",Race/Ethnicity,Non-Hispanic White,32.840571122, -86.631860762
2011,KY,Kentucky,33.7,29.5,38.2,1069.0,"(37.645970271, -84.774971048)",Income,"$35,000 - $49,999",37.645970271, -84.774971048
2011,IA,Iowa,29.0,26.7,31.5,1983.0,"(42.469400913, -93.816490556)",Education,Some college or technical school,42.469400913, -93.816490556
2015,IN,Indiana,22.6,17.1,29.2,262.0,"(39.766910452, -86.149960194)",Age (years),18 - 24,39.766910452, -86.149960194
2011,MD,Maryland,28.7,26.6,31.0,3696.0,"(39.290580964, -76.609260111)",Gender,Male,39.290580964, -76.609260111
2011,MD,Maryland,37.8,34.7,41.0,1867.0,"(39.290580964, -76.609260111)",Race/Ethnicity,Non-Hispanic Black,39.290580964, -76.609260111
2012,NY,New York,23.2,21.6,24.9,4140.0,"(42.827001032, -75.543970427)",Race/Ethnicity,Non-Hispanic White,42.827001032, -75.543970427
2012,AK,Alaska,21.1,13.1,32.2,122.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,Hispanic,64.845079957001, -147.722059036
2013,PA,Pennsylvania,21.0,19.3,22.7,3475.0,"(40.793730152, -77.860700294)",Education,College graduate,40.793730152, -77.860700294
2015,OR,Oregon,30.5,26.2,35.2,657.0,"(44.567449424, -120.155031326)",Income,"$50,000 - $74,999",44.567449424, -120.155031326
2011,WA,Washington,32.9,29.5,36.5,1554.0,"(47.522278629, -120.47001079)",Age (years),35 - 44,47.522278629, -120.47001079
2013,NH,New Hampshire,28.7,24.7,33.0,831.0,"(43.655950113, -71.50036092)",Income,"$35,000 - $49,999",43.655950113, -71.50036092
2015,UT,Utah,24.0,22.5,25.4,5359.0,"(39.360700171, -111.587130635)",Gender,Female,39.360700171, -111.587130635
2011,UT,Utah,24.4,23.3,25.5,10561.0,"(39.360700171, -111.587130635)",Race/Ethnicity,Non-Hispanic White,39.360700171, -111.587130635
2014,NJ,New Jersey,23.6,13.2,38.4,56.0,"(40.130570048, -74.273691288)",Race/Ethnicity,Other,40.130570048, -74.273691288
2012,ID,Idaho,29.8,25.8,34.1,1264.0,"(43.682630005, -114.363730042)",Age (years),55 - 64,43.682630005, -114.363730042
2013,OR,Oregon,25.2,21.5,29.2,783.0,"(44.567449424, -120.155031326)",Income,"$35,000 - $49,999",44.567449424, -120.155031326
2012,AL,Alabama,23.9,18.9,29.7,363.0,"(32.840571122, -86.631860762)",Age (years),18 - 24,32.840571122, -86.631860762
2012,ND,North Dakota,26.7,24.4,29.2,2515.0,"(47.475319779, -100.118421049)",Gender,Female,47.475319779, -100.118421049
2015,WA,Washington,25.9,24.6,27.3,7942.0,"(47.522278629, -120.47001079)",Gender,Female,47.522278629, -120.47001079
2011,NJ,New Jersey,23.4,20.7,26.3,1820.0,"(40.130570048, -74.273691288)",Income,"$50,000 - $74,999",40.130570048, -74.273691288
2011,MA,Massachusetts,22.9,20.0,26.0,1853.0,"(42.27687047, -72.082690675)",Income,"$25,000 - $34,999",42.27687047, -72.082690675
2012,TN,Tennessee,29.6,28.0,31.3,5457.0,"(35.68094058, -85.774490914)",Race/Ethnicity,Non-Hispanic White,35.68094058, -85.774490914
2014,IA,Iowa,24.0,12.5,41.2,54.0,"(42.469400913, -93.816490556)",Race/Ethnicity,2 or more races,42.469400913, -93.816490556
2013,IN,Indiana,19.7,16.1,23.9,507.0,"(39.766910452, -86.149960194)",Age (years),18 - 24,39.766910452, -86.149960194
2015,OR,Oregon,20.3,15.2,26.5,275.0,"(44.567449424, -120.155031326)",Age (years),18 - 24,44.567449424, -120.155031326
2015,AL,Alabama,38.8,33.6,44.3,683.0,"(32.840571122, -86.631860762)",Income,"$25,000 - $34,999",32.840571122, -86.631860762
2013,WI,Wisconsin,36.2,28.8,44.4,381.0,"(44.393191174, -89.816370742)",Education,Less than high school,44.393191174, -89.816370742
2013,AZ,Arizona,24.9,21.3,28.9,1234.0,"(34.86597028, -111.763811277)",Education,Some college or technical school,34.86597028, -111.763811277
2012,ID,Idaho,26.0,24.0,28.1,5062.0,"(43.682630005, -114.363730042)",Race/Ethnicity,Non-Hispanic White,43.682630005, -114.363730042
2014,NC,North Carolina,37.5,32.0,43.4,376.0,"(35.466220975, -79.159250463)",Race/Ethnicity,Hispanic,35.466220975, -79.159250463
2013,MD,Maryland,28.1,22.6,34.4,422.0,"(39.290580964, -76.609260111)",Race/Ethnicity,Hispanic,39.290580964, -76.609260111
2015,AZ,Arizona,25.4,23.7,27.1,5287.0,"(34.86597028, -111.763811277)",Race/Ethnicity,Non-Hispanic White,34.86597028, -111.763811277
2014,RI,Rhode Island,25.8,23.8,27.9,3514.0,"(41.708280193, -71.522470314)",Gender,Female,41.708280193, -71.522470314
2011,VT,Vermont,17.4,15.8,19.1,2875.0,"(43.625381239, -72.517640791)",Education,College graduate,43.625381239, -72.517640791
2014,VA,Virginia,33.4,30.6,36.3,1668.0,"(37.542680674, -78.457890463)",Age (years),45 - 54,37.542680674, -78.457890463
2014,OR,Oregon,28.8,22.3,36.3,256.0,"(44.567449424, -120.155031326)",Education,Less than high school,44.567449424, -120.155031326
2011,IN,Indiana,32.3,30.0,34.6,2992.0,"(39.766910452, -86.149960194)",Education,High school graduate,39.766910452, -86.149960194
2015,GA,Georgia,33.8,28.3,39.8,481.0,"(32.839681093, -83.627580346)",Income,"$35,000 - $49,999",32.839681093, -83.627580346
2013,SD,South Dakota,35.1,28.9,41.9,660.0,"(44.353130053, -100.373530637)",Race/Ethnicity,American Indian/Alaska Native,44.353130053, -100.373530637
2015,MA,Massachusetts,23.0,21.3,24.8,4388.0,"(42.27687047, -72.082690675)",Gender,Female,42.27687047, -72.082690675
2013,UT,Utah,21.9,18.1,26.2,583.0,"(39.360700171, -111.587130635)",Education,Less than high school,39.360700171, -111.587130635
2011,KY,Kentucky,29.5,28.1,31.0,8386.0,"(37.645970271, -84.774971048)",Race/Ethnicity,Non-Hispanic White,37.645970271, -84.774971048
2014,CA,California,34.2,30.6,37.9,902.0,"(37.638640123, -120.999999538)",Education,Less than high school,37.638640123, -120.999999538
2012,ME,Maine,30.1,26.7,33.8,1021.0,"(45.254228894001, -68.985031336)",Income,"$25,000 - $34,999",45.254228894001, -68.985031336
2012,WV,West Virginia,38.2,35.2,41.3,1232.0,"(38.665510202, -80.712640135)",Age (years),55 - 64,38.665510202, -80.712640135
2014,CA,California,26.6,22.7,31.0,675.0,"(37.638640123, -120.999999538)",Income,"$25,000 - $34,999",37.638640123, -120.999999538
2011,FL,Florida,6.2,2.6,13.8,107.0,"(28.932040377, -81.928960539)",Race/Ethnicity,Asian,28.932040377, -81.928960539
2014,NC,North Carolina,28.9,20.2,39.4,110.0,"(35.466220975, -79.159250463)",Race/Ethnicity,American Indian/Alaska Native,35.466220975, -79.159250463
2011,MD,Maryland,27.5,18.3,39.2,122.0,"(39.290580964, -76.609260111)",Race/Ethnicity,2 or more races,39.290580964, -76.609260111
2013,OH,Ohio,28.8,25.3,32.6,1228.0,"(40.060210141, -82.404260056)",Income,"$25,000 - $34,999",40.060210141, -82.404260056
2013,AZ,Arizona,22.5,17.6,28.2,802.0,"(34.86597028, -111.763811277)",Income,"$75,000 or greater",34.86597028, -111.763811277
2012,CT,Connecticut,44.2,29.3,60.3,72.0,"(41.56266102, -72.649840952)",Race/Ethnicity,2 or more races,41.56266102, -72.649840952
2015,NC,North Carolina,30.7,28.1,33.3,1688.0,"(35.466220975, -79.159250463)",Education,Some college or technical school,35.466220975, -79.159250463
2012,IL,Illinois,31.7,28.1,35.6,943.0,"(40.485010283, -88.997710178)",Age (years),45 - 54,40.485010283, -88.997710178
2012,GA,Georgia,27.7,23.3,32.7,659.0,"(32.839681093, -83.627580346)",Income,"$35,000 - $49,999",32.839681093, -83.627580346
2011,NH,New Hampshire,29.1,25.1,33.5,808.0,"(43.655950113, -71.50036092)",Income,"$15,000 - $24,999",43.655950113, -71.50036092
2015,MN,Minnesota,26.1,25.3,27.0,15340.0,"(46.355648736, -94.794200503)",Total,Total,46.355648736, -94.794200503
2012,WI,Wisconsin,29.5,27.5,31.6,4269.0,"(44.393191174, -89.816370742)",Race/Ethnicity,Non-Hispanic White,44.393191174, -89.816370742
2015,CO,Colorado,17.4,15.7,19.1,3807.0,"(38.843840757, -106.133610921)",Income,"$75,000 or greater",38.843840757, -106.133610921
2011,DC,District of Columbia,35.3,29.3,41.8,472.0,"(38.890371385, -77.031961127)",Income,"$15,000 - $24,999",38.890371385, -77.031961127
2015,WI,Wisconsin,30.2,21.4,40.7,154.0,"(44.393191174, -89.816370742)",Race/Ethnicity,Hispanic,44.393191174, -89.816370742
2011,NM,New Mexico,31.3,27.8,35.0,1145.0,"(34.520880952, -106.240580985)",Income,"Less than $15,000",34.520880952, -106.240580985
2011,AZ,Arizona,23.6,17.6,30.8,471.0,"(34.86597028, -111.763811277)",Age (years),25 - 34,34.86597028, -111.763811277
2011,VA,Virginia,29.7,27.3,32.3,2571.0,"(37.542680674, -78.457890463)",Gender,Male,37.542680674, -78.457890463
2014,TN,Tennessee,29.6,27.5,31.6,3978.0,"(35.68094058, -85.774490914)",Race/Ethnicity,Non-Hispanic White,35.68094058, -85.774490914
2014,WA,Washington,27.9,25.0,31.0,1538.0,"(47.522278629, -120.47001079)",Income,"$50,000 - $74,999",47.522278629, -120.47001079
2013,DE,Delaware,16.0,11.3,22.1,263.0,"(39.008830667, -75.577741168)",Age (years),18 - 24,39.008830667, -75.577741168
2014,NV,Nevada,25.6,21.0,30.9,726.0,"(39.49324039, -117.071840564)",Age (years),55 - 64,39.49324039, -117.071840564
2011,ID,Idaho,32.8,26.6,39.6,411.0,"(43.682630005, -114.363730042)",Education,Less than high school,43.682630005, -114.363730042
2015,SC,South Carolina,28.2,25.8,30.7,2377.0,"(33.998821303, -81.045371207)",Income,"$75,000 or greater",33.998821303, -81.045371207
2014,LA,Louisiana,44.3,28.8,60.9,67.0,"(31.312660644, -92.445680071)",Race/Ethnicity,2 or more races,31.312660644, -92.445680071
2011,SD,South Dakota,26.3,23.9,28.8,4539.0,"(44.353130053, -100.373530637)",Gender,Female,44.353130053, -100.373530637
2014,CO,Colorado,23.3,21.5,25.3,2923.0,"(38.843840757, -106.133610921)",Education,High school graduate,38.843840757, -106.133610921
2012,ID,Idaho,29.0,25.6,32.5,1770.0,"(43.682630005, -114.363730042)",Education,Some college or technical school,43.682630005, -114.363730042
2013,PA,Pennsylvania,30.6,20.7,42.7,108.0,"(40.793730152, -77.860700294)",Race/Ethnicity,2 or more races,40.793730152, -77.860700294
2011,SD,South Dakota,36.0,30.8,41.6,949.0,"(44.353130053, -100.373530637)",Age (years),35 - 44,44.353130053, -100.373530637
2015,NH,New Hampshire,21.8,18.4,25.6,1156.0,"(43.655950113, -71.50036092)",Income,Data not reported,43.655950113, -71.50036092
2012,IL,Illinois,7.1,3.1,15.1,137.0,"(40.485010283, -88.997710178)",Race/Ethnicity,Asian,40.485010283, -88.997710178
2012,KS,Kansas,36.1,30.1,42.4,515.0,"(38.3477403, -98.200781227)",Race/Ethnicity,Non-Hispanic Black,38.3477403, -98.200781227
2014,AK,Alaska,33.8,28.4,39.6,492.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,American Indian/Alaska Native,64.845079957001, -147.722059036
2012,TX,Texas,29.0,26.5,31.6,2093.0,"(31.827240407, -99.426770206)",Education,Some college or technical school,31.827240407, -99.426770206
2011,CT,Connecticut,32.6,27.0,38.7,501.0,"(41.56266102, -72.649840952)",Race/Ethnicity,Hispanic,41.56266102, -72.649840952
2011,WA,Washington,24.9,23.5,26.5,8061.0,"(47.522278629, -120.47001079)",Gender,Female,47.522278629, -120.47001079
2012,GA,Georgia,31.9,27.8,36.4,691.0,"(32.839681093, -83.627580346)",Age (years),35 - 44,32.839681093, -83.627580346
2014,AK,Alaska,29.3,26.3,32.5,1587.0,"(64.845079957001, -147.722059036)",Income,"$75,000 or greater",64.845079957001, -147.722059036
2014,NC,North Carolina,16.9,8.4,31.2,91.0,"(35.466220975, -79.159250463)",Race/Ethnicity,Asian,35.466220975, -79.159250463
2011,LA,Louisiana,33.6,31.2,36.1,3569.0,"(31.312660644, -92.445680071)",Education,High school graduate,31.312660644, -92.445680071
2012,KY,Kentucky,34.1,30.2,38.3,1562.0,"(37.645970271, -84.774971048)",Income,"Less than $15,000",37.645970271, -84.774971048
2014,MN,Minnesota,30.4,28.3,32.5,2483.0,"(46.355648736, -94.794200503)",Income,"$50,000 - $74,999",46.355648736, -94.794200503
2011,VA,Virginia,11.5,5.2,23.4,116.0,"(37.542680674, -78.457890463)",Race/Ethnicity,Asian,37.542680674, -78.457890463
2013,KY,Kentucky,30.3,27.7,33.0,2994.0,"(37.645970271, -84.774971048)",Income,Data not reported,37.645970271, -84.774971048
2011,IA,Iowa,27.4,25.7,29.3,3946.0,"(42.469400913, -93.816490556)",Gender,Female,42.469400913, -93.816490556
2014,TX,Texas,38.9,35.4,42.6,1765.0,"(31.827240407, -99.426770206)",Education,Less than high school,31.827240407, -99.426770206
2013,RI,Rhode Island,24.0,12.8,40.3,51.0,"(41.708280193, -71.522470314)",Race/Ethnicity,2 or more races,41.708280193, -71.522470314
2011,OR,Oregon,29.8,26.9,32.8,1460.0,"(44.567449424, -120.155031326)",Age (years),55 - 64,44.567449424, -120.155031326
2015,HI,Hawaii,17.9,15.7,20.4,2237.0,"(21.304850435, -157.857749403)",Age (years),65 or older,21.304850435, -157.857749403
2015,MO,Missouri,38.7,35.4,42.0,1431.0,"(38.635790776, -92.566300053)",Age (years),55 - 64,38.635790776, -92.566300053
2013,UT,Utah,21.4,19.3,23.7,1723.0,"(39.360700171, -111.587130635)",Age (years),25 - 34,39.360700171, -111.587130635
2014,CT,Connecticut,30.8,27.8,34.0,1382.0,"(41.56266102, -72.649840952)",Age (years),45 - 54,41.56266102, -72.649840952
2015,CT,Connecticut,30.3,26.6,34.3,1028.0,"(41.56266102, -72.649840952)",Race/Ethnicity,Hispanic,41.56266102, -72.649840952
2011,CO,Colorado,7.7,3.1,18.0,132.0,"(38.843840757, -106.133610921)",Race/Ethnicity,Asian,38.843840757, -106.133610921
2011,IL,Illinois,26.0,24.3,27.8,4355.0,"(40.485010283, -88.997710178)",Race/Ethnicity,Non-Hispanic White,40.485010283, -88.997710178
2014,AL,Alabama,32.4,28.5,36.5,959.0,"(32.840571122, -86.631860762)",Income,"$50,000 - $74,999",32.840571122, -86.631860762
2012,WI,Wisconsin,36.9,21.0,56.3,88.0,"(44.393191174, -89.816370742)",Race/Ethnicity,American Indian/Alaska Native,44.393191174, -89.816370742
2011,WA,Washington,23.1,19.8,26.8,987.0,"(47.522278629, -120.47001079)",Age (years),25 - 34,47.522278629, -120.47001079
2012,MT,Montana,23.4,21.8,25.0,4611.0,"(47.066528972, -109.424420645)",Gender,Female,47.066528972, -109.424420645
2014,LA,Louisiana,30.7,28.3,33.3,1873.0,"(31.312660644, -92.445680071)",Education,College graduate,31.312660644, -92.445680071
2013,OH,Ohio,17.8,14.3,21.9,590.0,"(40.060210141, -82.404260056)",Age (years),18 - 24,40.060210141, -82.404260056
2015,LA,Louisiana,32.7,29.1,36.5,941.0,"(31.312660644, -92.445680071)",Income,"$75,000 or greater",31.312660644, -92.445680071
2011,MT,Montana,24.1,22.7,25.5,8715.0,"(47.066528972, -109.424420645)",Race/Ethnicity,Non-Hispanic White,47.066528972, -109.424420645
2011,AK,Alaska,35.5,22.7,50.9,63.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,Other,64.845079957001, -147.722059036
2012,SD,South Dakota,26.8,16.9,39.9,101.0,"(44.353130053, -100.373530637)",Race/Ethnicity,Hispanic,44.353130053, -100.373530637
2011,TX,Texas,29.9,28.1,31.8,8505.0,"(31.827240407, -99.426770206)",Gender,Female,31.827240407, -99.426770206
2013,RI,Rhode Island,11.9,4.6,27.5,77.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Asian,41.708280193, -71.522470314
2012,HI,Hawaii,21.2,10.5,38.3,73.0,"(21.304850435, -157.857749403)",Race/Ethnicity,Other,21.304850435, -157.857749403
2012,NJ,New Jersey,16.1,7.9,30.0,71.0,"(40.130570048, -74.273691288)",Race/Ethnicity,American Indian/Alaska Native,40.130570048, -74.273691288
2015,UT,Utah,24.5,23.5,25.5,10455.0,"(39.360700171, -111.587130635)",Total,Total,39.360700171, -111.587130635
2014,MT,Montana,24.0,20.5,27.9,984.0,"(47.066528972, -109.424420645)",Income,"$50,000 - $74,999",47.066528972, -109.424420645
2014,ID,Idaho,28.7,25.5,32.0,1554.0,"(43.682630005, -114.363730042)",Education,High school graduate,43.682630005, -114.363730042
2014,KY,Kentucky,33.7,29.7,37.9,1346.0,"(37.645970271, -84.774971048)",Income,"$35,000 - $49,999",37.645970271, -84.774971048
2012,FL,Florida,25.9,21.8,30.5,872.0,"(28.932040377, -81.928960539)",Income,"$50,000 - $74,999",28.932040377, -81.928960539
2014,CT,Connecticut,38.6,24.8,54.3,70.0,"(41.56266102, -72.649840952)",Race/Ethnicity,2 or more races,41.56266102, -72.649840952
2011,NC,North Carolina,6.5,2.2,17.7,84.0,"(35.466220975, -79.159250463)",Race/Ethnicity,Asian,35.466220975, -79.159250463
2011,HI,Hawaii,27.1,21.2,34.0,367.0,"(21.304850435, -157.857749403)",Education,Less than high school,21.304850435, -157.857749403
2011,MN,Minnesota,22.9,21.6,24.3,7853.0,"(46.355648736, -94.794200503)",Gender,Female,46.355648736, -94.794200503
2015,VT,Vermont,26.1,22.3,30.3,660.0,"(43.625381239, -72.517640791)",Age (years),35 - 44,43.625381239, -72.517640791
2011,MO,Missouri,26.1,22.1,30.7,593.0,"(38.635790776, -92.566300053)",Age (years),25 - 34,38.635790776, -92.566300053
2013,OR,Oregon,26.5,24.9,28.1,5668.0,"(44.567449424, -120.155031326)",Total,Total,44.567449424, -120.155031326
2014,DE,Delaware,29.6,27.3,32.1,2740.0,"(39.008830667, -75.577741168)",Race/Ethnicity,Non-Hispanic White,39.008830667, -75.577741168
2011,KY,Kentucky,23.4,20.5,26.5,1424.0,"(37.645970271, -84.774971048)",Income,"$75,000 or greater",37.645970271, -84.774971048
2013,WA,Washington,26.9,23.5,30.7,1263.0,"(47.522278629, -120.47001079)",Income,Data not reported,47.522278629, -120.47001079
2014,MN,Minnesota,12.6,8.6,18.2,244.0,"(46.355648736, -94.794200503)",Race/Ethnicity,Asian,46.355648736, -94.794200503
2014,AK,Alaska,34.0,25.0,44.3,158.0,"(64.845079957001, -147.722059036)",Race/Ethnicity,2 or more races,64.845079957001, -147.722059036
2014,GA,Georgia,27.2,16.7,41.0,94.0,"(32.839681093, -83.627580346)",Race/Ethnicity,2 or more races,32.839681093, -83.627580346
2011,MN,Minnesota,23.3,19.9,27.2,911.0,"(46.355648736, -94.794200503)",Income,"Less than $15,000",46.355648736, -94.794200503
2011,VA,Virginia,37.9,33.3,42.7,883.0,"(37.542680674, -78.457890463)",Race/Ethnicity,Non-Hispanic Black,37.542680674, -78.457890463
2012,NE,Nebraska,31.6,18.3,48.6,61.0,"(41.641040988001, -99.365720623)",Race/Ethnicity,Other,41.641040988001, -99.365720623
2013,NE,Nebraska,28.1,24.2,32.4,1635.0,"(41.641040988001, -99.365720623)",Income,Data not reported,41.641040988001, -99.365720623
2012,FL,Florida,21.0,17.3,25.2,1066.0,"(28.932040377, -81.928960539)",Income,Data not reported,28.932040377, -81.928960539
2014,MN,Minnesota,20.6,18.4,23.0,1691.0,"(46.355648736, -94.794200503)",Income,Data not reported,46.355648736, -94.794200503
2015,OR,Oregon,30.5,24.4,37.4,271.0,"(44.567449424, -120.155031326)",Race/Ethnicity,2 or more races,44.567449424, -120.155031326
2013,MT,Montana,10.4,7.9,13.6,585.0,"(47.066528972, -109.424420645)",Age (years),18 - 24,47.066528972, -109.424420645
2015,NJ,New Jersey,48.4,33.9,63.0,78.0,"(40.130570048, -74.273691288)",Race/Ethnicity,2 or more races,40.130570048, -74.273691288
2012,NC,North Carolina,34.3,31.6,37.1,1922.0,"(35.466220975, -79.159250463)",Income,"$15,000 - $24,999",35.466220975, -79.159250463
2015,NM,New Mexico,33.5,29.5,37.7,1152.0,"(34.520880952, -106.240580985)",Income,"$15,000 - $24,999",34.520880952, -106.240580985
2015,DC,District of Columbia,27.1,19.9,35.7,591.0,"(38.890371385, -77.031961127)",Income,Data not reported,38.890371385, -77.031961127
2012,DC,District of Columbia,27.8,22.8,33.4,556.0,"(38.890371385, -77.031961127)",Education,Some college or technical school,38.890371385, -77.031961127
2015,PA,Pennsylvania,24.5,21.7,27.5,1454.0,"(40.793730152, -77.860700294)",Income,"$75,000 or greater",40.793730152, -77.860700294
2011,CA,California,26.9,21.5,33.2,315.0,"(37.638640123, -120.999999538)",Race/Ethnicity,2 or more races,37.638640123, -120.999999538
2013,TX,Texas,19.0,15.5,23.0,667.0,"(31.827240407, -99.426770206)",Age (years),18 - 24,31.827240407, -99.426770206
2014,MO,Missouri,30.3,27.3,33.4,1826.0,"(38.635790776, -92.566300053)",Education,Some college or technical school,38.635790776, -92.566300053
2012,NC,North Carolina,31.7,22.2,43.0,158.0,"(35.466220975, -79.159250463)",Race/Ethnicity,2 or more races,35.466220975, -79.159250463
2015,AZ,Arizona,28.2,25.4,31.3,1639.0,"(34.86597028, -111.763811277)",Education,High school graduate,34.86597028, -111.763811277
2015,TX,Texas,36.0,32.2,40.0,2062.0,"(31.827240407, -99.426770206)",Income,"$15,000 - $24,999",31.827240407, -99.426770206
2012,NM,New Mexico,17.7,14.3,21.8,535.0,"(34.520880952, -106.240580985)",Age (years),18 - 24,34.520880952, -106.240580985
2014,PA,Pennsylvania,30.6,27.2,34.3,1388.0,"(40.793730152, -77.860700294)",Income,"$35,000 - $49,999",40.793730152, -77.860700294
2014,MD,Maryland,35.6,32.4,39.0,2090.0,"(39.290580964, -76.609260111)",Age (years),45 - 54,39.290580964, -76.609260111
2013,ME,Maine,29.1,27.1,31.1,3294.0,"(45.254228894001, -68.985031336)",Gender,Male,45.254228894001, -68.985031336
2014,WV,West Virginia,36.0,34.1,38.0,3291.0,"(38.665510202, -80.712640135)",Gender,Female,38.665510202, -80.712640135
2012,MA,Massachusetts,21.3,18.9,23.9,1947.0,"(42.27687047, -72.082690675)",Age (years),25 - 34,42.27687047, -72.082690675
2015,LA,Louisiana,44.5,39.3,49.8,478.0,"(31.312660644, -92.445680071)",Age (years),35 - 44,31.312660644, -92.445680071
2012,WY,Wyoming,23.5,19.4,28.2,815.0,"(43.235541343, -108.109830353)",Income,"$35,000 - $49,999",43.235541343, -108.109830353
2015,RI,Rhode Island,28.1,22.3,34.6,354.0,"(41.708280193, -71.522470314)",Race/Ethnicity,Hispanic,41.708280193, -71.522470314
2015,KY,Kentucky,17.8,13.7,23.0,478.0,"(37.645970271, -84.774971048)",Age (years),18 - 24,37.645970271, -84.774971048
2014,NE,Nebraska,28.7,27.4,30.1,11731.0,"(41.641040988001, -99.365720623)",Gender,Female,41.641040988001, -99.365720623
2013,CA,California,24.1,23.0,25.3,10669.0,"(37.638640123, -120.999999538)",Total,Total,37.638640123, -120.999999538
2011,OR,Oregon,17.1,15.2,19.1,2223.0,"(44.567449424, -120.155031326)",Education,College graduate,44.567449424, -120.155031326
2011,AL,Alabama,26.4,23.7,29.3,1812.0,"(32.840571122, -86.631860762)",Education,College graduate,32.840571122, -86.631860762
2013,NV,Nevada,26.2,24.0,28.6,4871.0,"(39.49324039, -117.071840564)",Total,Total,39.49324039, -117.071840564
2014,MD,Maryland,35.0,30.1,40.3,1380.0,"(39.290580964, -76.609260111)",Income,"$15,000 - $24,999",39.290580964, -76.609260111
2014,PA,Pennsylvania,21.1,19.4,22.9,3402.0,"(40.793730152, -77.860700294)",Education,College graduate,40.793730152, -77.860700294
2011,FL,Florida,32.7,28.7,37.0,1152.0,"(28.932040377, -81.928960539)",Education,Less than high school,28.932040377, -81.928960539
2015,OH,Ohio,32.4,30.0,34.9,3995.0,"(40.060210141, -82.404260056)",Education,High school graduate,40.060210141, -82.404260056
2015,MO,Missouri,39.8,34.9,44.9,668.0,"(38.635790776, -92.566300053)",Age (years),35 - 44,38.635790776, -92.566300053
2012,IN,Indiana,35.8,32.8,39.0,1407.0,"(39.766910452, -86.149960194)",Age (years),45 - 54,39.766910452, -86.149960194
2015,ND,North Dakota,16.7,12.3,22.3,245.0,"(47.475319779, -100.118421049)",Age (years),18 - 24,47.475319779, -100.118421049
2012,ME,Maine,34.8,31.0,38.8,1121.0,"(45.254228894001, -68.985031336)",Income,"Less than $15,000",45.254228894001, -68.985031336
2014,MS,Mississippi,39.5,34.8,44.3,775.0,"(32.745510099, -89.538030825)",Income,"$15,000 - $24,999",32.745510099, -89.538030825
2012,IL,Illinois,23.2,18.8,28.3,496.0,"(40.485010283, -88.997710178)",Age (years),25 - 34,40.485010283, -88.997710178
2011,MA,Massachusetts,31.8,27.5,36.4,1253.0,"(42.27687047, -72.082690675)",Race/Ethnicity,Non-Hispanic Black,42.27687047, -72.082690675
2011,AZ,Arizona,25.1,23.0,27.3,6150.0,"(34.86597028, -111.763811277)",Total,Total,34.86597028, -111.763811277
2014,WI,Wisconsin,36.4,32.0,41.0,781.0,"(44.393191174, -89.816370742)",Age (years),35 - 44,44.393191174, -89.816370742
2015,AZ,Arizona,29.5,24.9,34.5,515.0,"(34.86597028, -111.763811277)",Age (years),25 - 34,34.86597028, -111.763811277
2013,NJ,New Jersey,29.2,26.7,31.9,2560.0,"(40.130570048, -74.273691288)",Age (years),55 - 64,40.130570048, -74.273691288
2011,DE,Delaware,27.9,24.8,31.3,1374.0,"(39.008830667, -75.577741168)",Education,High school graduate,39.008830667, -75.577741168
2014,TX,Texas,26.6,24.2,29.1,3659.0,"(31.827240407, -99.426770206)",Income,"$75,000 or greater",31.827240407, -99.426770206
2013,MT,Montana,39.6,34.2,45.2,750.0,"(47.066528972, -109.424420645)",Race/Ethnicity,American Indian/Alaska Native,47.066528972, -109.424420645
2014,PA,Pennsylvania,34.0,31.6,36.4,2420.0,"(40.793730152, -77.860700294)",Age (years),55 - 64,40.793730152, -77.860700294
2011,ID,Idaho,21.5,18.9,24.3,1761.0,"(43.682630005, -114.363730042)",Education,College graduate,43.682630005, -114.363730042
2012,NE,Nebraska,24.9,21.8,28.3,1756.0,"(41.641040988001, -99.365720623)",Income,Data not reported,41.641040988001, -99.365720623
2012,MA,Massachusetts,23.3,21.1,25.6,2678.0,"(42.27687047, -72.082690675)",Age (years),35 - 44,42.27687047, -72.082690675
